Titre,Prix,Ville,CT match,URL
Polo Volkswagen,2700.0 €,Lorgues,Contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155099536
Peugeot 207 à vendre,2700.0 €,Ajaccio,CT ok,https://www.leboncoin.fr/ad/voitures/3155099051
Renault Twingo phase 2 avec attelage,2200.0 €,La Mézière,CT,https://www.leboncoin.fr/ad/voitures/3155098291
Renault scenic,2000.0 €,Bort-les-Orgues,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155096539
Laguna 2,2000.0 €,Vigneux-sur-Seine,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155095866
Vend seat inca 1.9 sdi,3000.0 €,Bayecourt,CT,https://www.leboncoin.fr/ad/voitures/3155095119
Renault Clio Campus 3 portes 1.2 i 75 ch,2000.0 €,Saint-Sébastien-sur-Loire,CONTRÔLE TECHNIQUE,https://www.leboncoin.fr/ad/voitures/3155039310
Kangoo 1.9d,1650.0 €,Bry-sur-Marne,Contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3155093260
Renault Clio 1.2 essence – 2010 – 104 000 km – 2 500,2500.0 €,Ollioules,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155092647
Renault Twingo,2450.0 €,Claye-Souilly,CT ok,https://www.leboncoin.fr/ad/voitures/3155092504
Peugeot207,2500.0 €,Auxerre,ct,https://www.leboncoin.fr/ad/voitures/3155091296
207 serie 64 1.4 vti 16 v prix a débattre,2800.0 €,Bourgoin-Jallieu,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155090842
Peugeot 206+ hdi 70ch,3000.0 €,Montenois,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155090580
Citroën Xsara Picasso 1.6L HDI 90CV,1800.0 €,Yerres,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155090078
Peugeot 208 1.2 Puretech,2500.0 €,Lyon,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155088935
"Citroën C1, 1,04 l HDI, 54 chevaux diesel",1900.0 €,Besançon,contrôle technique,https://www.leboncoin.fr/ad/voitures/3155088583
CT OK Cabriolet Saab 9.3 2L Turbo peu de km,2700.0 €,Fontrieu,CT OK,https://www.leboncoin.fr/ad/voitures/3155087491
Volkswagen eos,2350.0 €,Égly,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155086738
Peugeot 308 SW,1500.0 €,La Teste-de-Buch,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155086027
Peugeot 206 sw 1.6 hdi,2700.0 €,Nogaro,ct,https://www.leboncoin.fr/ad/voitures/3155085514
Peugeot 206 1.9D – 2002 – 5 portes – 190 000 km,2000.0 €,Clermont-Ferrand,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155065153
Polo,2500.0 €,Lyon,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155082954
Peugeot 208 * lire l'annonce,2200.0 €,Lamentin,CT jusqu'au,https://www.leboncoin.fr/ad/voitures/3155081272
Peugeot 206 1.6i 110cv,2900.0 €,Clermont-Ferrand,Contrôle Technique ok,https://www.leboncoin.fr/ad/voitures/3137156110
Renault scénic 1.9DCI ct ok,2350.0 €,Yzeure,ct ok,https://www.leboncoin.fr/ad/voitures/3155076626
Peugeot 407,2400.0 €,Meyzieu,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155077737
Laguna,2400.0 €,Aigné,CT Ok,https://www.leboncoin.fr/ad/voitures/3155077234
Vw polo,2000.0 €,Loudun,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155075966
Peugeot 206 cc 2.0 16s,2800.0 €,Castelnaudary,Ct à jour,https://www.leboncoin.fr/ad/voitures/3155074259
Scenic 1.6 16v,2600.0 €,Pierrefonds,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155072299
ALFA ROMÉO Mito,2800.0 €,Vénéjan,CT ok,https://www.leboncoin.fr/ad/voitures/3155071842
Toyota aygo,1800.0 €,Nantes,contrôle technique,https://www.leboncoin.fr/ad/voitures/3155071197
Vente clio 3,1800.0 €,Sceaux,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155070496
Ford fiesta 2000,3000.0 €,Brest,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155064195
Citroen c3 1.4 hdi 70 pack clim✨,2900.0 €,Cannes,Contrôle Technique ,https://www.leboncoin.fr/ad/voitures/3155069738
Polo ethanol,1900.0 €,Thann,CT ok,https://www.leboncoin.fr/ad/voitures/3155067269
Opel corsa,1900.0 €,Saint-Denoual,Contrôle technique passé,https://www.leboncoin.fr/ad/voitures/3155066809
Renault clio 3 estate édition Tom Tom,2980.0 €,Saint-Maurice,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155065963
SAXO Essence 1.0i - Jeune conducteur,1500.0 €,Vair-sur-Loire,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155065794
Alfa Romeo mito,1600.0 €,Vieux-Condé,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155065052
Citroën Saxo Bic – 85 000 km – Bon état général – Distribution faite,1900.0 €,Brive-la-Gaillarde,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155063805
Citroën C3,1900.0 €,Sérignan-du-Comtat,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155063331
Seat Alhambra année 2001 177k,1500.0 €,Mignères,Controle technique ,https://www.leboncoin.fr/ad/voitures/3155063422
Megane 2,2600.0 €,Dampierre-en-Burly,CT fait,https://www.leboncoin.fr/ad/voitures/3155062878
Dacia Logan 1.4 essence,1800.0 €,Évreux,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155061349
Dacia sandero 2011,2300.0 €,Wattrelos,Ct OK,https://www.leboncoin.fr/ad/voitures/3155058163
Nissan micra 1.2i 80ch,2000.0 €,Montreuil,CT OK,https://www.leboncoin.fr/ad/voitures/3155056953
VW Polo 4 1.2 essence boîte manuelle,1500.0 €,Mouans-Sartoux,Contrôle technique à jour,https://www.leboncoin.fr/ad/voitures/3155055007
Fiat panda 2009 - 146000 km,2950.0 €,Meyzieu,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155054723
Citroen c3 1.6 16v 110cv,2390.0 €,Nîmes,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155053844
Nissan micra 1.2i 65CH PACK CLIM,2000.0 €,Montreuil,CT OK,https://www.leboncoin.fr/ad/voitures/3155053578
"Vend fiat panda essence, bon état",2500.0 €,Blaringhem,contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3151615387
Subaru JUSTY 4x4 1.5 essence 99cv CT OK 120.000kms,1490.0 €,Épinal,CT OK,https://www.leboncoin.fr/ad/voitures/3155050723
Renault twingo lll 1.2 essence 75cv,2500.0 €,Chalon-sur-Saône,Contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3155050338
Peugeot 207,2450.0 €,Corbeil-Essonnes,CT,https://www.leboncoin.fr/ad/voitures/3155049759
Citroën saxo,1999.0 €,Cernay,Ct ok,https://www.leboncoin.fr/ad/voitures/3155048741
Clio renault,3000.0 €,Saint-Martin-sur-le-Pré,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3075101254
Fiat panda,2500.0 €,Cognin,contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3152560119
Fiat Punto 1.3 mjtd 180000 km,2700.0 €,Morlaix,CT,https://www.leboncoin.fr/ad/voitures/3155046823
Twingo 2 1.2l,2700.0 €,Tourouvre au Perche,CT,https://www.leboncoin.fr/ad/voitures/3155046262
206+ 1.4hdi 68cv,2390.0 €,Chelles,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3139500445
"Citroën C3 1,4 VTI 16V Exclusive",2400.0 €,Flins-sur-Seine,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155044390
Renault twingo 1.2i phase 3 CT OK 105.000kms,1750.0 €,Épinal,CT OK,https://www.leboncoin.fr/ad/voitures/3155044117
Hyundai Getz,2400.0 €,Ornaisons,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155043439
Ford Fiesta essence 2006,1950.0 €,Cernay,CT,https://www.leboncoin.fr/ad/voitures/3155043083
Citroën C3 II 1.4 essence,2750.0 €,Toulouse,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155042348
Mini Cooper 1.6 ess 7cv 115cv Ct ok,2800.0 €,Rennes,Ct ok,https://www.leboncoin.fr/ad/voitures/3155040651
1007,2300.0 €,Flers,Controle Technique OK,https://www.leboncoin.fr/ad/voitures/3155040665
"Dacia Logan 1,6 90cv",2250.0 €,Vandoeuvre-lès-Nancy,CT,https://www.leboncoin.fr/ad/voitures/3018688874
Fiat panda,1650.0 €,Saint-Hilaire-de-Chaléons,Contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3146950732
Ford Fusion 1.4 TDCi 68 Trend,1900.0 €,Les Pennes-Mirabeau,controle technique ,https://www.leboncoin.fr/ad/voitures/3155029373
206 cc 2l S16,3000.0 €,Saint-Martin-d'Abbat,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155036464
307,3000.0 €,Roanne,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155034767
Hyundai getz,3000.0 €,Honnechy,ct,https://www.leboncoin.fr/ad/voitures/3155033958
Saxo essence,1500.0 €,Calvisson,contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155033833
Renault Grand Scenic CTOK✅,1800.0 €,Morteau,CTOK,https://www.leboncoin.fr/ad/voitures/3155032764
Ford Ka 1.2 Essence 2012,2890.0 €,Nevers,CT ok,https://www.leboncoin.fr/ad/voitures/3155032052
Kia Picanto diesel,2900.0 €,Saint-Denis,CT OK,https://www.leboncoin.fr/ad/voitures/3155030997
Golf 5,2000.0 €,Marseille,CT fait,https://www.leboncoin.fr/ad/voitures/3155028544
Citroen C4,2900.0 €,Albi,CT Ok,https://www.leboncoin.fr/ad/voitures/3155028019
107,2100.0 €,Obernai,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155028376
Opel Corsa 1.2 Twinport 16V 80ch,2890.0 €,Moissy-Cramayel,Contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3155027093
Fiat doblo,1400.0 €,Montdidier,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155025493
Peugeot 207sw 1.6 vti 120cv,3000.0 €,Roncq,Ct ok,https://www.leboncoin.fr/ad/voitures/3155024788
Clio 2,2700.0 €,Le Mans,Contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155022488
Citroën c3 phase 2 pack dynamique 1.1L 60 cv ct ok,2490.0 €,Marquette-lez-Lille,ct ok,https://www.leboncoin.fr/ad/voitures/3155023003
Citroën C2,2800.0 €,Dole,Contrôle Technique OK,https://www.leboncoin.fr/ad/voitures/3134258524
Kangoo phase 1,2800.0 €,Quissac,contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3155022889
"Citroën C3 1.4 HDi – 164 600 km – Entretien mécanique complet récent (Distribution, Trains roulants)",2990.0 €,Mignaloux-Beauvoir,Contrôle technique valide,https://www.leboncoin.fr/ad/voitures/3155022912
Peugeot 407 sw 2.0 HDI 136,2900.0 €,Sarreguemines,CT,https://www.leboncoin.fr/ad/voitures/3155022853
Peugeot 407 1.8l 16v 2006,1990.0 €,Fos-sur-Mer,controle technique ok,https://www.leboncoin.fr/ad/voitures/3155018704
Je vend ma Peugeot 206,1700.0 €,Paris,contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155011732
Peugeot 206 XR 3 portes – Essence – 1 700,1700.0 €,Crézancy,Contrôle technique passé,https://www.leboncoin.fr/ad/voitures/3155009924
Peugeot 407 SW de 2010 avec 200000km,2000.0 €,Créteil,Contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155009231
Polo,2000.0 €,Mézières-sous-Lavardin,ct,https://www.leboncoin.fr/ad/voitures/3155008025
Renault twingo 1.2 68 cv,2000.0 €,Ostricourt,CT OK,https://www.leboncoin.fr/ad/voitures/3155007300
Renault clio 3 1.5 dci,2800.0 €,Panossas,Contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3150836770
Renault clio 2 essence,2800.0 €,Toutainville,Contrôle technique valide,https://www.leboncoin.fr/ad/voitures/3155001619
Voiture DAIHATSU Trevis sans CT,1500.0 €,Esbly,CT,https://www.leboncoin.fr/ad/voitures/3155001160
Peugeot 206 1.4i 75cv,2900.0 €,Connerré,CT,https://www.leboncoin.fr/ad/voitures/3154994498
Vend twingo 2 authentique faible kilométrage,3000.0 €,La Hague,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3154993117
Hyundai Getz 1.1 66ch – Petit prix,1750.0 €,Chambéry,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3154991830
Citroen c3,2500.0 €,Saint-André-de-Cubzac,ct ok,https://www.leboncoin.fr/ad/voitures/3154988336
Twingo 1 / Twingo | - 1.2 16V 75CV Noir,2190.0 €,Limeil-Brévannes,Contrôle technique récent,https://www.leboncoin.fr/ad/voitures/3154986627
Peugeot 306 1.9d,2000.0 €,Remiremont,ct,https://www.leboncoin.fr/ad/voitures/3154986386
Fiat panda 69ch 2010,3000.0 €,Pontarlier,CT,https://www.leboncoin.fr/ad/voitures/3154982707
Clio 3 de 2011,3000.0 €,Herblay-sur-Seine,controle technique ok,https://www.leboncoin.fr/ad/voitures/3154970045
Renault scenic,2700.0 €,Paris,contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3154979213
Citroën c1,2200.0 €,Lille,Contrôle technique fait,https://www.leboncoin.fr/ad/voitures/3154978634
Clio 2,3000.0 €,Caen,CT,https://www.leboncoin.fr/ad/voitures/3154977182
Idéal jeune permis ou second véhicule,2490.0 €,Annecy,Contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3154548012
"CORSA IV 1.3 CDTI 90 CH COSMO 
2007 
Diesel",3000.0 €,Château-Arnoux-Saint-Auban,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3154976185
Renault Mégane 1:5dci 90ch ct ok,1700.0 €,Gaillard,ct ok,https://www.leboncoin.fr/ad/voitures/3154975914
206 sw break 1.4 essence 96 100 km CT OK 2004,2990.0 €,Marignane,CT OK,https://www.leboncoin.fr/ad/voitures/3154970648
Citroën saxo,2500.0 €,Breuillet,Ct ok,https://www.leboncoin.fr/ad/voitures/3154969953
Nissan note 1.5 86cv Ct ok,2450.0 €,Bordeaux,Ct ok,https://www.leboncoin.fr/ad/voitures/3154968469
Citroën nemo,2800.0 €,Abancourt,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3154967229
Vw Golf 4,1890.0 €,Metz,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3154966343
